"data_id","age","language","form","birth_order","ethnicity","sex","mom_ed","measure","vocab","demo","n","demo_label"
1,24,"English","WS","First","Asian","Female","Graduate","production",337,"All Data",5498,"All Data (n = 5498)"
2,19,"English","WS","Second","Black","Female","College","production",384,"All Data",5498,"All Data (n = 5498)"
3,24,"English","WS","First","Other","Male","Some Secondary","production",76,"All Data",5498,"All Data (n = 5498)"
4,18,"English","WS","First","White","Male","Secondary","production",19,"All Data",5498,"All Data (n = 5498)"
5,24,"English","WS","First","White","Female","Secondary","production",480,"All Data",5498,"All Data (n = 5498)"
6,19,"English","WS","First","Other","Female","Some College","production",313,"All Data",5498,"All Data (n = 5498)"
7,30,"English","WS","First","Other","Female","College","production",555,"All Data",5498,"All Data (n = 5498)"
8,22,"English","WS","Third","White","Female","Some Secondary","production",505,"All Data",5498,"All Data (n = 5498)"
9,18,"English","WS","First","White","Male","Some Secondary","production",79,"All Data",5498,"All Data (n = 5498)"
10,18,"English","WS","First","White","Female","Secondary","production",346,"All Data",5498,"All Data (n = 5498)"
11,18,"English","WS","Second","White","Female","Secondary","production",82,"All Data",5498,"All Data (n = 5498)"
12,25,"English","WS","First","Asian","Male","College","production",45,"All Data",5498,"All Data (n = 5498)"
13,24,"English","WS","Second","White","Male","Some College","production",403,"All Data",5498,"All Data (n = 5498)"
14,18,"English","WS","Third","White","Female","Some Secondary","production",100,"All Data",5498,"All Data (n = 5498)"
15,24,"English","WS","Second","Hispanic","Male","Some College","production",178,"All Data",5498,"All Data (n = 5498)"
16,23,"English","WS","First","White","Male","Secondary","production",156,"All Data",5498,"All Data (n = 5498)"
17,21,"English","WS","Fourth","Black","Female","Some Secondary","production",39,"All Data",5498,"All Data (n = 5498)"
18,20,"English","WS","First","White","Female","Secondary","production",439,"All Data",5498,"All Data (n = 5498)"
19,19,"English","WS","First","Other","Female","College","production",175,"All Data",5498,"All Data (n = 5498)"
20,23,"English","WS","Second","White","Male","Secondary","production",592,"All Data",5498,"All Data (n = 5498)"
21,17,"English","WS","First","White","Female","Secondary","production",17,"All Data",5498,"All Data (n = 5498)"
22,23,"English","WS","First","White","Male","Secondary","production",570,"All Data",5498,"All Data (n = 5498)"
23,24,"English","WS","First","Black","Male","Some Secondary","production",451,"All Data",5498,"All Data (n = 5498)"
24,16,"English","WS","Third","Black","Male","Some College","production",11,"All Data",5498,"All Data (n = 5498)"
25,19,"English","WS","Second","Asian","Female","Some College","production",59,"All Data",5498,"All Data (n = 5498)"
26,24,"English","WS","First","Hispanic","Female","Some College","production",549,"All Data",5498,"All Data (n = 5498)"
27,24,"English","WS","First","White","Female","Secondary","production",215,"All Data",5498,"All Data (n = 5498)"
28,18,"English","WS","First","Other","Female","Some College","production",151,"All Data",5498,"All Data (n = 5498)"
29,21,"English","WS","First","White","Male","Secondary","production",3,"All Data",5498,"All Data (n = 5498)"
30,27,"English","WS","Fourth","Hispanic","Female","Some Secondary","production",497,"All Data",5498,"All Data (n = 5498)"
